id,currentPrice,basePrice,endedPrice,duration,breedCount,speed,hp,morale,ownerProfile,birthDate,transferHistory,genes,bodyShape,owner,name
11891605,0.00600,0.00600,0.00000,0000,4,55,43,31,dc:bob36#2630 | Axie Bob Shop,2023-10-04 13:06:26 UTC,0,0x400000000a18632210a4108410a42008106419060085114c0822084c10240904,Normal,0xdc683a32553d8de5828ec1364df4b7ae6f98a66b,Axie #11891605
11250282,0.00600,0.00600,0.00000,0000,3,55,43,31,F29,2022-03-03 02:03:25 UTC,0,0x40000000081882221041084210a0210a106409040080214a0822088210240888,Normal,0xc6a0aea76e4a4d1b70b220046100fdb7bead8a2a,Axie #11250282
11203093,0.00600,0.00600,0.00000,0000,3,55,43,31,F28,2022-02-20 04:32:18 UTC,0,0x400000000c0c80031044110410a4290a10641904008128ca08220882102408c4,Normal,0x68b421f17670f1df8ce7390f4496b7d0ccf50881,Axie #11203093
11262856,0.00600,0.00600,0.00000,0000,2,55,43,31,F30,2022-03-07 10:40:23 UTC,0,0x400000000c28c0001045208410a1090810642108008020080822088210240902,Normal,0x1636a6396d0996e07bcc609cf2da577bee6ff698,Axie #11262856
11248840,0.00600,0.00600,0.00000,0000,2,55,43,31,F27,2022-03-02 15:11:16 UTC,0,0x400000001e0c64241044110a10a3090a106419060080210a0824304c1024088a,Curly,0xa28ec6037e706c6a6a4d92346b6f1a214549ca6b,Axie #11248840
11328270,0.00630,0.00630,0.00000,0000,2,55,43,31,PJGZ,2022-05-11 13:33:15 UTC,2,0x400000000330c32210a4110410a421021061308c0080204208220882102408c6,Normal,0x6fecff87b99209dcad3193777db4f29754cf97b1,CHEAPEST!
11877930,0.00640,0.00640,0.00000,0000,3,55,43,31,CP-9,2023-09-22 10:26:06 UTC,0,0x400000000a28a20010a4110410a429021064190a008430080821108210240902,Normal,0xe55b4b7e3bc0276ca3db781da37c8b00d8c2ec9b,Axie #11877930S
11249184,0.00655,0.00655,0.00000,0000,3,55,42,32,MNGRMJ,2022-03-02 17:00:31 UTC,0,0x400000000a28c3300824090210a429081084084a008020080822088210240902,Normal,0x5151544b1b0b7871096d78d1af81ec9c0019ec1f,0.007
11314864,0.00680,0.00680,0.00000,0000,2,55,42,32,MNGRMJ,2022-04-27 13:14:31 UTC,0,0x400000000c30a0300844080210a421021082210800802008082208c61024090a,Normal,0x5151544b1b0b7871096d78d1af81ec9c0019ec1f,0.007
11081175,0.00680,0.00680,0.00000,0000,4,55,42,32,MNGRMJ,2022-02-04 02:32:12 UTC,0,0x4000000008181200084410c410a4290a10241904008020080822088210240808,Normal,0x5151544b1b0b7871096d78d1af81ec9c0019ec1f,0.007
